"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Clouds Are Not Spheres: The Fractal Theory Of Benoit Mandelbrot","Films for the Humanities ...",,"Discontinued","2.0","4:3",169.95,"NR","UNK","Special Interest","1.33:1","9781421339719",2007-05-22 00:00:00,208153,2011-06-04 00:00:00
"Clouds Of Sils Maria","Paramount",,"Out","SUB","LBX, 16:9",29.99,"R","2014","Foreign","2.35:1","032429229090",2015-07-14 00:00:00,280504,2015-07-14 00:00:00
"Clouds Of Sils Maria (Rental Ready)","Paramount",,"Discontinued","SUB","LBX, 16:9",29.99,"R","2014","Foreign","2.35:1","032429229106",2015-07-14 00:00:00,280679,2015-08-26 00:00:00
"Clouds Of War (4-Disc)","Polart",,"Out","SUB","4:3",59.95,"NR","1973","Foreign","1.33:1","644527373393",2010-01-19 00:00:00,175366,2010-01-19 00:00:00
"Clouds Of War (4-Disc/ dist. by Facets)","Polart",,"Discontinued","SUB","4:3",79.95,"NR","1973","Foreign","1.33:1","644527373096",2004-01-13 00:00:00,38376,2014-02-14 00:00:00
"Clouds Weather And Life","United Learning",,"Out","2.0","4:3",95,"NR","UNK","Special Interest","1.33:1","9786306710942",2001-10-23 00:00:00,203540,2011-04-07 00:00:00
"Clouds: Messengers Of The Weather","Educational Video Network",,"Out","2.0","4:3",39.95,"NR","UNK","Special Interest","1.33:1","693940184437",2006-02-28 00:00:00,81475,2006-02-16 00:00:00
"Cloudstreet","Acorn Media",,"Out","2.0","LBX, 16:9",49.99,"NR","2011","Drama","1.85:1","054961884896",2012-09-04 00:00:00,231053,2012-09-04 00:00:00
"Cloudy","Live Oak Media",,"Out","2.0","4:3",29.95,"NR","2007","Special Interest","1.33:1","9781595194756",2007-07-31 00:00:00,240746,2013-01-09 00:00:00
"Cloudy With A Chance Of Meatballs","Sony Pictures",,"Out","5.1","LBX, 16:9",9.99,"PG","2009","Animation","2.35:1","043396215634",2010-01-05 00:00:00,170182,2013-09-01 00:00:00
"Cloudy With A Chance Of Meatballs (2-Disc)","Sony Pictures",,"Out","5.1","LBX, 16:9",26.99,"PG","2009","Animation","2.35:1","043396339552",2010-01-05 00:00:00,170170,2012-03-07 00:00:00
"Cloudy With A Chance Of Meatballs (3-D/ Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",26.99,"PG","2009","Animation","2.35:1","043396355781",2010-06-22 00:00:00,183025,2015-02-02 00:00:00
"Cloudy With A Chance Of Meatballs (Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",14.99,"PG","2009","Animation","2.35:1","043396215665",2010-01-05 00:00:00,170174,2013-09-01 00:00:00
"Cloudy With A Chance Of Meatballs (UMD)","Sony Pictures",,"Discontinued","2.0","LBX, 16:9",14.99,"PG","2009","Animation","1.85:1","043396263352",2010-01-05 00:00:00,170207,2011-07-30 00:00:00
"Cloudy With A Chance Of Meatballs / Cloudy With A Chance Of Meatballs 2","Sony Pictures",,"Out","5.1","LBX, 16:9",19.99,"PG","VAR","Animation","1.85:1","043396466289",2015-09-14 00:00:00,282080,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs / Hotel Transylvania / Smurfs (2011)","Sony Pictures",,"Out","5.1","LBX, 16:9",19.99,"PG","VAR","Animation","VAR","043396466296",2015-09-14 00:00:00,282091,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (Blu-ray 3D/ DVD & Blu-ray Combo w/ Digital Copy)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",26.99,"PG","2013","Animation","2.35:1","043396425064",2014-01-28 00:00:00,256452,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (DVD & Blu-ray Combo w/ Digital Copy)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",19.99,"PG","2013","Animation","2.35:1","043396425071",2014-01-28 00:00:00,256466,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (w/ Digital Copy)","Sony Pictures",,"Out","5.1","LBX, 16:9",14.99,"PG","2013","Animation","2.35:1","043396425101",2014-01-28 00:00:00,256455,2015-09-08 00:00:00
"Clouseau: Live In Het Sportpaleis","EMI International",,"Out","2.0","4:3",17.99,"NR","UNK","Music","1.33:1","724349038493",2008-05-06 00:00:00,134231,2010-05-09 00:00:00
"Clover","RHI Entertainment",,"Out","2.0","4:3",14.93,"NR","1997","Drama","1.33:1","883476031040",2011-02-22 00:00:00,193618,2011-02-22 00:00:00
"Clover Bend (Special Edition)","IFILM",,"Discontinued","2.0","4:3",19.98,"NR","2001","Drama","1.33:1","796019752497",2005-06-14 00:00:00,64601,2011-03-11 00:00:00
"Cloverfield (Paramount)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.98,"PG-13","2008","Action/Adventure","1.85:1","032429101419",2011-10-04 00:00:00,212135,2012-12-27 00:00:00
"Cloverfield (Paramount) / Nick Of Time / Escape From L.A.","Paramount",,"Discontinued","5.1","LBX, 16:9",22.99,"VAR","VAR","VAR","VAR","032429060303",2009-05-26 00:00:00,157114,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","2008","Action/Adventure","1.85:1","097361328546",2008-06-03 00:00:00,136860,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray) (Side-By-Side)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",42.99,"VAR","VAR","VAR","1.85:1","032429056559",2008-12-30 00:00:00,149681,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray/ Back-To-Back)","Paramount",,"Discontinued","VAR","LBX, 16:9, BLU-RAY",42.99,"VAR","VAR","VAR","1.85:1","032429056542",2008-12-30 00:00:00,149672,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray/ Checkpoint)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","2008","Action/Adventure","1.85:1","097361328522",2008-06-03 00:00:00,240278,2013-01-07 00:00:00
"Cloverfield (Paramount/ Special Edition w/ Movie Money)","Paramount",,"Discontinued","5.1","LBX, 16:9",19.99,"PG-13","2008","Action/Adventure","1.85:1","032429061973",2009-05-05 00:00:00,156620,2012-12-27 00:00:00
